category,title,creator,publication_year,description
book,Wake-up Cup,Bobbie Aufderhar,1946,Eaque cum architecto et.
album,The Captain's Select,Ms. Arlen Rogahn,1981,Quis harum soluta vel.
book,Express Town,Marlene Bogan,1945,Eaque ea et facere.
album,Spilt Cowboy,Miss Dino Kunze,1982,Soluta quia atque accusamus.
book,American Java,Desirae Reichel,2008,Laboriosam laudantium magnam illo.
book,Green Equinox,Carma Pagac,1935,Eius aut nulla nihil.
album,Jacked Breaker,Laure Keebler III,1934,Nisi quo itaque veritatis.
album,Seattle Coffee,Kasandra Okuneva,2012,Ipsa tempore dolorem doloremque.
book,Spilt Cowboy,Charlotte Wilkinson,1939,Explicabo cupiditate corrupti ad.
book,KrebStar Solstice,Mrs. Jerica Spencer,1962,Iusto nisi aut dolor.
book,Joe Forrester,Isaac Watsica,1996,Dolorum est sed facilis.
book,Hello Mug,Winford Nicolas II,1964,Ratione aliquam nemo rerum.
book,Evening Star,Rolande Wolf,1936,Non natus enim deserunt.
book,Dark Coffee,Miss Wilda O'Reilly,1940,Et enim voluptates autem.
album,Split Volcano,Dalila Barrows V,1977,Ducimus incidunt ea doloremque.
album,Evening Been,Miss Leisa Hayes,1936,Ut facere eum blanditiis.
album,Express Forrester,Ernestine Altenwerth,2004,Et cumque qui ut.
book,Kreb-Full-o Nuts,Winfred Schuppe,1929,In accusamus autem eum.
book,Café Volcano,Oscar Mraz II,1962,Ut ullam quae ipsam.
book,Cascara Java,Fernando McCullough,1966,Ad repudiandae aliquam numquam.
album,American Breaker,Dulce Hagenes PhD,1967,Eius molestiae quod tempore.
album,Goodbye Nuts,Dorla Simonis,1925,Et est rerum sit.
book,Captain's Look,Sang Miller,1997,Sunt consequuntur sunt voluptas.
album,Bluebery Cup,Delfina Lubowitz,1948,Quae deserunt soluta saepe.
album,Kreb-Full-o Choice,Ivy Zboncak,1939,Vel fugit dolorum excepturi.
movie,Guardians of the Galaxy,James Gunn,2014,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
movie,Prometheus,Ridley Scott,2012,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
movie,Split,M. Night Shyamalan,2016,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
movie,Sing,Christophe Lourdelet,2016,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same."
movie,Suicide Squad,David Ayer,2016,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
movie,The Great Wall,Yimou Zhang,2016,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.
movie,La La Land,Damien Chazelle,2016,A jazz pianist falls for an aspiring actress in Los Angeles.
movie,Mindhorn,Sean Foley,2016,"A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person."
movie,The Lost City of Z,James Gray,2016,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s."
movie,Passengers,Morten Tyldum,2016,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
movie,Fantastic Beasts and Where to Find Them,David Yates,2016,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
movie,Hidden Figures,Theodore Melfi,2016,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
movie,Rogue One,Gareth Edwards,2016,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow."
movie,Moana,Ron Clements,2016,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right."
movie,Colossal,Nacho Vigalondo,2016,"Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon."
movie,The Secret Life of Pets,Chris Renaud,2016,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
movie,Hacksaw Ridge,Mel Gibson,2016,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
movie,Jason Bourne,Paul Greengrass,2016,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
movie,Lion,Garth Davis,2016,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."
movie,Arrival,Denis Villeneuve,2016,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors."
movie,Gold,Stephen Gaghan,2016,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia."
